What is nanpa-linja-n?,A notation system that reversibly encodes decimal digit strings as proper names and numeric cartouches.<br><br><small>It does not add new words to the Toki Pona lexicon.</small>
How does every nanpa-linja-n numeric proper name begin and end?,It begins with Ne- and ends with -n.<br><br><small>Example: 125 → Newatulun.</small>
How are multi-digit values formed?,Concatenate one designated syllable for each decimal digit between initial Ne- and final -n.<br><br><small>Relaxed 125: Ne + wa + tu + lu + n → Newatulun.</small>
Where may a long numeric proper name be split into words?,At numeric punctuation markers.<br><br><small>The marker’s initial n normally closes the preceding word: 2.5 → Netun One Lun.</small>
What is the exception to the normal punctuation word-splitting rule?,The negative marker no.<br><br><small>It can attach to initial Ne- as Neno: −5 → Neno Lun.</small>
Which mode should beginners normally produce?,"Relaxed mode.<br><br><small>Strict forms remain useful for recognition, but relaxed mode supplies the preferred output forms used in this deck.</small>"
How are exact hundreds optionally split?,The final two zeros may be written as a separate Inin word.<br><br><small>100 → Newan Inin; 200 → Netun Inin.</small>
What changes when a numeric cartouche is abbreviated?,"Interior supporting nena, en and open glyphs are removed where the specification permits.<br><br><small>The value and pronunciation remain the same. Optional spacer en glyphs may still be shown.</small>"
Encode digit 0 in preferred relaxed mode.,ni — Nenin<br><br><small>Preferred relaxed syllable: ni. Main abbreviated-cartouche glyph: ijo.</small>
Which decimal digit is represented by relaxed syllable “ni”?,0<br><br><small>Nenin is the single-digit proper name.</small>
Encode digit 1 in preferred relaxed mode.,wa — Newan<br><br><small>Preferred relaxed syllable: wa. Main abbreviated-cartouche glyph: wan. Strict recognition form: we.</small>
Which decimal digit is represented by relaxed syllable “wa”?,1<br><br><small>Newan is the single-digit proper name.</small>
Encode digit 2 in preferred relaxed mode.,tu — Netun<br><br><small>Preferred relaxed syllable: tu. Main abbreviated-cartouche glyph: tu. Strict recognition form: te.</small>
Which decimal digit is represented by relaxed syllable “tu”?,2<br><br><small>Netun is the single-digit proper name.</small>
Encode digit 3 in preferred relaxed mode.,se — Nesen<br><br><small>Preferred relaxed syllable: se. Main abbreviated-cartouche glyph: seli.</small>
Which decimal digit is represented by relaxed syllable “se”?,3<br><br><small>Nesen is the single-digit proper name.</small>
Encode digit 4 in preferred relaxed mode.,na — Nenan<br><br><small>Preferred relaxed syllable: na. Main abbreviated-cartouche glyph: awen.</small>
Which decimal digit is represented by relaxed syllable “na”?,4<br><br><small>Nenan is the single-digit proper name.</small>
Encode digit 5 in preferred relaxed mode.,lu — Nelun<br><br><small>Preferred relaxed syllable: lu. Main abbreviated-cartouche glyph: luka. Strict recognition form: le.</small>
