Prompt,Answer,Extra,Category,Decimal,ProperNameRelaxed,StrictRecognition,FullCartoucheWords,AbbreviatedCartoucheWords,HashAbbreviation,Tags
What is nanpa-linja-n?,A notation system that reversibly encodes decimal digit strings as proper names and numeric cartouches.,It does not add new words to the Toki Pona lexicon.,01 Foundations,,,,,,,foundation
How does every nanpa-linja-n numeric proper name begin and end?,It begins with Ne- and ends with -n.,Example: 125 → Newatulun.,01 Foundations,,,,,,,foundation structure
How are multi-digit values formed?,Concatenate one designated syllable for each decimal digit between initial Ne- and final -n.,Relaxed 125: Ne + wa + tu + lu + n → Newatulun.,01 Foundations,,,,,,,foundation structure
Where may a long numeric proper name be split into words?,At numeric punctuation markers.,The marker’s initial n normally closes the preceding word: 2.5 → Netun One Lun.,01 Foundations,,,,,,,foundation word-splitting
What is the exception to the normal punctuation word-splitting rule?,The negative marker no.,It can attach to initial Ne- as Neno: −5 → Neno Lun.,01 Foundations,,,,,,,foundation negative
Which mode should beginners normally produce?,Relaxed mode.,"Strict forms remain useful for recognition, but relaxed mode supplies the preferred output forms used in this deck.",01 Foundations,,,,,,,foundation mode::relaxed
How are exact hundreds optionally split?,The final two zeros may be written as a separate Inin word.,100 → Newan Inin; 200 → Netun Inin.,01 Foundations,,,,,,,foundation hundreds
What changes when a numeric cartouche is abbreviated?,"Interior supporting nena, en and open glyphs are removed where the specification permits.",The value and pronunciation remain the same. Optional spacer en glyphs may still be shown.,01 Foundations,,,,,,,foundation cartouche::abbreviated
Encode digit 0 in preferred relaxed mode.,ni — Nenin,Preferred relaxed syllable: ni. Main abbreviated-cartouche glyph: ijo.,02 Relaxed digits,0,Nenin,,[nanpa en nena ijo nanpa],[nanpa ijo nanpa],#~I,digit digit::0 mode::relaxed
Which decimal digit is represented by relaxed syllable “ni”?,0,Nenin is the single-digit proper name.,02 Relaxed digits,0,Nenin,,[nanpa en nena ijo nanpa],[nanpa ijo nanpa],#~I,digit digit::0 recognition
Encode digit 1 in preferred relaxed mode.,wa — Newan,Preferred relaxed syllable: wa. Main abbreviated-cartouche glyph: wan. Strict recognition form: we.,02 Relaxed digits,1,Newan,we,[nanpa en wan ala nanpa],[nanpa wan nanpa],#~W,digit digit::1 mode::relaxed
Which decimal digit is represented by relaxed syllable “wa”?,1,Newan is the single-digit proper name.,02 Relaxed digits,1,Newan,we,[nanpa en wan ala nanpa],[nanpa wan nanpa],#~W,digit digit::1 recognition
Encode digit 2 in preferred relaxed mode.,tu — Netun,Preferred relaxed syllable: tu. Main abbreviated-cartouche glyph: tu. Strict recognition form: te.,02 Relaxed digits,2,Netun,te,[nanpa en tu uta nanpa],[nanpa tu nanpa],#~T,digit digit::2 mode::relaxed
Which decimal digit is represented by relaxed syllable “tu”?,2,Netun is the single-digit proper name.,02 Relaxed digits,2,Netun,te,[nanpa en tu uta nanpa],[nanpa tu nanpa],#~T,digit digit::2 recognition
Encode digit 3 in preferred relaxed mode.,se — Nesen,Preferred relaxed syllable: se. Main abbreviated-cartouche glyph: seli.,02 Relaxed digits,3,Nesen,,[nanpa en seli en nanpa],[nanpa seli nanpa],#~S,digit digit::3 mode::relaxed
Which decimal digit is represented by relaxed syllable “se”?,3,Nesen is the single-digit proper name.,02 Relaxed digits,3,Nesen,,[nanpa en seli en nanpa],[nanpa seli nanpa],#~S,digit digit::3 recognition
Encode digit 4 in preferred relaxed mode.,na — Nenan,Preferred relaxed syllable: na. Main abbreviated-cartouche glyph: awen.,02 Relaxed digits,4,Nenan,,[nanpa en nena awen nanpa],[nanpa awen nanpa],#~A,digit digit::4 mode::relaxed
Which decimal digit is represented by relaxed syllable “na”?,4,Nenan is the single-digit proper name.,02 Relaxed digits,4,Nenan,,[nanpa en nena awen nanpa],[nanpa awen nanpa],#~A,digit digit::4 recognition
Encode digit 5 in preferred relaxed mode.,lu — Nelun,Preferred relaxed syllable: lu. Main abbreviated-cartouche glyph: luka. Strict recognition form: le.,02 Relaxed digits,5,Nelun,le,[nanpa en luka uta nanpa],[nanpa luka nanpa],#~L,digit digit::5 mode::relaxed
Which decimal digit is represented by relaxed syllable “lu”?,5,Nelun is the single-digit proper name.,02 Relaxed digits,5,Nelun,le,[nanpa en luka uta nanpa],[nanpa luka nanpa],#~L,digit digit::5 recognition
Encode digit 6 in preferred relaxed mode.,nu — Nenun,Preferred relaxed syllable: nu. Main abbreviated-cartouche glyph: utala.,02 Relaxed digits,6,Nenun,,[nanpa en nena utala nanpa],[nanpa utala nanpa],#~U,digit digit::6 mode::relaxed
Which decimal digit is represented by relaxed syllable “nu”?,6,Nenun is the single-digit proper name.,02 Relaxed digits,6,Nenun,,[nanpa en nena utala nanpa],[nanpa utala nanpa],#~U,digit digit::6 recognition
Encode digit 7 in preferred relaxed mode.,mu — Nemun,Preferred relaxed syllable: mu. Main abbreviated-cartouche glyph: mun. Strict recognition form: me.,02 Relaxed digits,7,Nemun,me,[nanpa en mun uta nanpa],[nanpa mun nanpa],#~M,digit digit::7 mode::relaxed
